gsea0,gsea1,gsea2,geometry,Gi_gsea0,Gi_gsea1,Gi_gsea2,Gi_sum
0.0,0.0,0.0,POINT (0.7638036062011482 0.6963312545338227),0.05332772530255447,0.49654562224760873,-0.04009634698823127,0.5097770005619319
0.0,0.0,0.0,POINT (0.917165253790314 0.7829553004339342),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.9159376507065689 0.7548665837428521),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.9307964640642444 0.8304155130847017),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.8970634128868457 0.7452436886981123),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.8983177130286093 0.7937181914820086),0.41693625450064137,-0.11924159074298356,-0.04009634698823127,0.2575983167694265
0.0,0.0,0.0,POINT (0.8968150461452543 0.6852763479590698),-0.25427253079645207,-0.11924159074298354,-0.040096346988231266,-0.4136104685276669
0.0,0.0,0.0,POINT (0.8817938198808595 0.7185907801957195),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
3119.480839,2782.44309817384,0.0,POINT (0.742420976080756 0.7327488618170362),-0.2512953533299169,-0.11346058029222762,-0.04009634698823127,-0.4048522806103758
0.0,0.0,0.0,POINT (0.709739475640553 0.7282226002906159),0.15586114400222328,0.7018080265778063,-0.040096346988231266,0.8175728235917983
0.0,0.0,0.0,POINT (0.6704980293351384 0.7249314383738684),-0.25427253079645207,-0.11924159074298354,-0.040096346988231266,-0.4136104685276669
0.0,0.0,0.0,POINT (0.8698176471833491 0.8554547526369746),0.5128232238287977,-0.11924159074298354,-0.040096346988231266,0.3534852860975829
0.0,0.0,0.0,POINT (0.8305149602942217 0.7969532073518489),0.6406725162663394,-0.11924159074298356,-0.040096346988231266,0.4813345785351245
0.0,0.0,0.0,POINT (0.9127001235907132 0.7397824722873446),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.7002998012540423 0.8471413117556451),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.7080905243679853 0.7838295155928267),-0.2542725307964521,-0.11924159074298356,-0.040096346988231266,-0.413610468527667
0.0,0.0,0.0,POINT (0.835433680684634 0.5899948055387959),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.8349787974566265 0.6726777246998342),-0.2542725307964521,-0.11924159074298356,-0.040096346988231266,-0.413610468527667
0.0,0.0,0.0,POINT (0.8931336692657644 0.6598557244229468),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.8879311488255751 0.6391762393229051),-0.2542725307964521,-0.11924159074298356,-0.040096346988231266,-0.413610468527667
0.0,0.0,0.0,POINT (0.86738253913374 0.6222074658936754),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.9444674161409335 0.6464139230790154),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
6806.960993,0.0,0.0,POINT (0.8346351095410127 0.8128348529647559),-0.25097701396909167,-0.11924159074298356,-0.04009634698823127,-0.4103149517003065
0.0,0.0,0.0,POINT (0.70881840296034 0.7519582555048506),0.15586114400222328,0.7018080265778063,-0.040096346988231266,0.8175728235917983
0.0,0.0,0.0,POINT (0.6351488623756432 0.8133380773747659),0.26687953880660303,-0.11924159074298356,-0.04009634698823127,0.10754160107538818
0.0,0.0,0.0,POINT (0.6456865574347503 0.9232510830626404),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.5877508841762125 0.9047415500297726),0.5274555736081308,-0.11924159074298356,-0.040096346988231266,0.3681176358769159
0.0,0.0,0.0,POINT (0.6942467241376115 0.9471180030791572),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.9211582274142436 0.8144980960163882),-0.2542725307964521,-0.11924159074298356,-0.04009634698823127,-0.413610468527667
0.0,0.0,0.0,POINT (0.8418826040738043 0.7168855938241585),-0.2542725307964521,-0.11924159074298356,-0.040096346988231266,-0.413610468527667
